,image_name,label
0,491_238_B,B
1,1475_705_S,S
2,181_84_B,B
3,2137_1007_B,B
4,2188_1031_B,B
5,1678_800_S,S
6,1017_476_S,S
7,2346_1113_S,S
8,944_448_B,B
9,1394_663_S,S
10,974_462_B,B
11,1320_623_S,S
12,1959_927_B,B
13,902_426_B,B
14,2503_1199_B,B
15,2410_1147_B,B
16,740_344_S,S
17,2371_1128_B,B
18,1815_867_S,S
19,648_304_B,B
20,1327_626_S,S
21,824_382_S,S
22,75_36_B,B
23,2100_991_B,B
24,794_370_B,B
25,496_243_S,S
26,792_369_S,S
27,1734_823_S,S
28,2221_1049_S,S
29,464_228_S,S
30,830_384_B,B
31,2030_956_S,S
32,83_42_B,B
33,1164_549_B,B
34,1457_695_S,S
35,2392_1137_S,S
36,1716_816_S,S
37,1599_766_S,S
38,1786_847_B,B
39,45_21_S,S
40,2193_1036_B,B
41,1755_833_S,S
42,370_182_B,B
43,1004_473_S,S
44,1053_490_B,B
45,2593_1245_S,S
46,1076_505_B,B
47,2212_1046_B,B
48,2396_1138_B,B
49,1406_669_B,B
50,1691_805_B,B
51,2014_947_B,B
52,1398_664_B,B
53,1169_552_B,B
54,1436_685_S,S
55,1963_928_S,S
56,1699_810_B,B
57,1146_541_B,B
58,1161_547_B,B
59,296_139_S,S
60,1132_533_B,B
61,1856_884_B,B
62,610_292_S,S
63,1892_899_S,S
64,1575_756_S,S
65,2097_990_B,B
66,2366_1126_S,S
67,36_16_S,S
68,117_57_B,B
69,409_202_B,B
70,1506_721_S,S
71,455_223_B,B
72,1705_813_S,S
73,1213_571_B,B
74,2147_1012_B,B
75,1676_799_S,S
76,2336_1106_S,S
77,1952_925_S,S
78,2237_1055_S,S
79,1883_897_S,S
80,391_194_B,B
81,376_184_B,B
82,1977_931_S,S
83,873_410_B,B
84,68_32_B,B
85,2421_1154_B,B
86,63_29_B,B
87,2343_1111_B,B
88,335_161_B,B
89,893_421_B,B
90,1492_713_B,B
91,1499_717_B,B
92,186_87_S,S
93,187_87_S,S
94,2112_997_B,B
95,1383_656_S,S
96,1524_730_S,S
97,1085_513_S,S
98,1850_882_B,B
99,1197_562_S,S
100,2569_1239_S,S
101,93_47_S,S
102,2430_1156_B,B
103,1645_786_S,S
104,1110_522_B,B
105,807_374_S,S
106,2384_1134_B,B
107,1622_774_S,S
108,214_96_B,B
109,2001_942_S,S
110,1927_911_S,S
111,2322_1100_S,S
112,1638_783_S,S
113,131_64_B,B
114,1153_544_S,S
115,769_357_B,B
116,1077_506_B,B
117,253_121_S,S
118,453_223_S,S
119,274_127_S,S
120,1183_559_B,B
121,1767_836_S,S
122,1746_829_B,B
123,1061_495_B,B
124,894_422_S,S
125,2457_1170_S,S
126,2101_992_B,B
127,332_159_B,B
128,217_99_B,B
129,1608_769_S,S
130,1033_483_B,B
131,55_24_B,B
132,399_198_B,B
133,1567_750_S,S
134,2535_1216_S,S
135,959_458_S,S
136,2059_971_B,B
137,267_124_B,B
138,233_110_B,B
139,511_249_B,B
140,567_273_S,S
141,605_291_S,S
142,1375_651_S,S
143,1096_516_S,S
144,984_465_S,S
145,2194_1037_S,S
146,89_46_S,S
147,1642_785_B,B
148,88_46_S,S
149,2121_1002_B,B
150,929_440_B,B
151,2148_1013_B,B
152,110_54_S,S
153,19_8_S,S
154,1082_510_B,B
155,914_432_S,S
156,1934_914_S,S
